idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	
EMG_CH2_24BIT	EMG_CH2_24BIT	ECG_EMG_Status1	ECG_EMG_Status1	Timestamp	Timestamp	EMG_CH1_24BIT	EMG_CH1_24BIT	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
no_units	mV	no_units	no_units	ms	Ticks	mV	no_units	
755075.0	54.45723884788023	128.0	128.0	168940.03295898438	5535827.0	-84.4580333778898	-1171050.0	
755680.0	54.50087243328959	128.0	128.0	168941.00952148438	5535859.0	-84.3451630288557	-1169485.0	
755540.0	54.490775405260976	128.0	128.0	168941.98608398438	5535891.0	-84.30946282261168	-1168990.0	
755045.0	54.45507519901695	128.0	128.0	168942.96264648438	5535923.0	-84.3296568786689	-1169270.0	
755540.0	54.490775405260976	128.0	128.0	168943.93920898438	5535955.0	-84.34949032658224	-1169545.0	
755395.0	54.48031776908849	128.0	128.0	168944.91577148438	5535987.0	-84.36860255820783	-1169810.0	
755575.0	54.49329966226813	128.0	128.0	168945.89233398438	5536019.0	-84.37473289665377	-1169895.0	
754950.0	54.44822364428325	128.0	128.0	168946.86889648438	5536051.0	-84.40249972373245	-1170280.0	
753455.0	54.34040180926345	128.0	128.0	168947.84545898438	5536083.0	-84.41115431918554	-1170400.0	
754135.0	54.389444516830984	128.0	128.0	168948.82202148438	5536115.0	-84.44685452542956	-1170895.0	
754005.0	54.38006870509013	128.0	128.0	168949.79858398438	5536147.0	-84.42774229380397	-1170630.0	
754855.0	54.44137208954955	128.0	128.0	168950.77514648438	5536179.0	-84.44000297069586	-1170800.0	
754535.0	54.4182931683413	128.0	128.0	168951.75170898438	5536211.0	-84.44180601141525	-1170825.0	
754900.0	54.44461756284446	128.0	128.0	168952.72827148438	5536243.0	-84.52258223564414	-1171945.0	
753720.0	54.35951404088903	128.0	128.0	168953.70483398438	5536275.0	-84.5849674445352	-1172810.0	
755050.0	54.45543580716083	128.0	128.0	168954.68139648438	5536307.0	-84.6037190680169	-1173070.0	
754455.0	54.41252343803924	128.0	128.0	168955.65795898438	5536339.0	-84.6260767729374	-1173380.0	
754925.0	54.44642060356386	128.0	128.0	168956.63452148438	5536371.0	-84.59722812142708	-1172980.0	
756035.0	54.52647561150499	128.0	128.0	168957.61108398438	5536403.0	-84.57523102465046	-1172675.0	
755395.0	54.48031776908849	128.0	128.0	168958.58764648438	5536435.0	-84.5420550754136	-1172215.0	
755960.0	54.52106648934681	128.0	128.0	168959.56420898438	5536467.0	-84.46596675705514	-1171160.0	
755080.0	54.457599456024106	128.0	128.0	168960.54077148438	5536499.0	-84.4443302684224	-1170860.0	
754970.0	54.44966607685877	128.0	128.0	168961.51733398438	5536531.0	-84.406827021459	-1170340.0	
755405.0	54.481038985376244	128.0	128.0	168962.49389648438	5536563.0	-84.4169240494876	-1170480.0	
755440.0	54.4835632423834	128.0	128.0	168963.47045898438	5536595.0	-84.4461333091418	-1170885.0	
755390.0	54.47995716094461	128.0	128.0	168964.44702148438	5536627.0	-84.42521803679682	-1170595.0	
755440.0	54.4835632423834	128.0	128.0	168965.42358398438	5536659.0	-84.42810290194785	-1170635.0	
755010.0	54.4525509420098	128.0	128.0	168966.40014648438	5536691.0	-84.45550912088265	-1171015.0	
755090.0	54.458320672311864	128.0	128.0	168967.37670898438	5536723.0	-84.43495445668155	-1170730.0	
755535.0	54.4904147971171	128.0	128.0	168968.35327148438	5536755.0	-84.46344250004799	-1171125.0	
756080.0	54.5297210847999	128.0	128.0	168969.32983398438	5536787.0	-84.47390013622048	-1171270.0	
754090.0	54.386199043536074	128.0	128.0	168970.30639648438	5536819.0	-84.49337297598994	-1171540.0	
755420.0	54.48212080980788	128.0	128.0	168971.28295898438	5536851.0	-84.47426074436436	-1171275.0	
755200.0	54.4662540514772	128.0	128.0	168972.25952148438	5536883.0	-84.51500946462268	-1171840.0	
755095.0	54.45868128045574	128.0	128.0	168973.23608398438	5536915.0	-84.57306737578719	-1172645.0	
755495.0	54.487529931966066	128.0	128.0	168974.21264648438	5536947.0	-84.60660393316793	-1173110.0	
756150.0	54.53476959881421	128.0	128.0	168975.18920898438	5536979.0	-84.62283129964248	-1173335.0	
755155.0	54.46300857818229	128.0	128.0	168976.16577148438	5537011.0	-84.61706156934042	-1173255.0	
755730.0	54.504478514728376	128.0	128.0	168977.14233398438	5537043.0	-84.59758872957096	-1172985.0	
754695.0	54.42983262894543	128.0	128.0	168978.11889648438	5537075.0	-84.57306737578719	-1172645.0	
755205.0	54.46661465962108	128.0	128.0	168979.09545898438	5537107.0	-84.51753372162983	-1171875.0	
755770.0	54.50736337987941	128.0	128.0	168980.07202148438	5537139.0	-84.4785880420909	-1171335.0	
755355.0	54.47743290393745	128.0	128.0	168981.04858398438	5537171.0	-84.43098776709888	-1170675.0	
755175.0	54.464451010757806	128.0	128.0	168982.02514648438	5537203.0	-84.43567567296931	-1170740.0	
755715.0	54.50339669029674	128.0	128.0	168983.00170898438	5537235.0	-84.43387263224992	-1170715.0	
755835.0	54.512051285749834	128.0	128.0	168983.97827148438	5537267.0	-84.44721513357344	-1170900.0	
755110.0	54.45976310488738	128.0	128.0	168984.95483398438	5537299.0	-84.4598364186092	-1171075.0	
754945.0	54.447863036139374	128.0	128.0	168985.93139648438	5537331.0	-84.43459384853767	-1170725.0	
755490.0	54.48716932382219	128.0	128.0	168986.90795898438	5537363.0	-84.44180601141525	-1170825.0	
754995.0	54.45146911757816	128.0	128.0	168987.88452148438	5537395.0	-84.45226364758774	-1170970.0	
755745.0	54.50556033916001	128.0	128.0	168988.86108398438	5537427.0	-84.46344250004799	-1171125.0	
755640.0	54.497987568138555	128.0	128.0	168989.83764648438	5537459.0	-84.4717364873572	-1171240.0	
754970.0	54.44966607685877	128.0	128.0	168990.81420898438	5537491.0	-84.48255473167357	-1171390.0	
755000.0	54.45182972572204	128.0	128.0	168991.79077148438	5537523.0	-84.50238817958692	-1171665.0	
755045.0	54.45507519901695	128.0	128.0	168992.76733398438	5537555.0	-84.5507096708667	-1172335.0	
756170.0	54.536212031389724	128.0	128.0	168993.74389648438	5537587.0	-84.5745098083627	-1172665.0	
755080.0	54.457599456024106	128.0	128.0	168994.72045898438	5537619.0	-84.61706156934042	-1173255.0	
755055.0	54.45579641530471	128.0	128.0	168995.69702148438	5537651.0	-84.6055221087363	-1173095.0	
754520.0	54.41721134390966	128.0	128.0	168996.67358398438	5537683.0	-84.62968285437618	-1173430.0	
753905.0	54.37285654221255	128.0	128.0	168997.65014648438	5537715.0	-84.60984940646284	-1173155.0	
754455.0	54.41252343803924	128.0	128.0	168998.62670898438	5537747.0	-84.56188852332694	-1172490.0	
754665.0	54.42766898008215	128.0	128.0	168999.60327148438	5537779.0	-84.5059942610257	-1171715.0	
755015.0	54.45291155015368	128.0	128.0	169000.57983398438	5537811.0	-84.45226364758774	-1170970.0	
755240.0	54.46913891662823	128.0	128.0	169001.55639648438	5537843.0	-84.42485742865294	-1170590.0	
754830.0	54.43956904883016	128.0	128.0	169002.53295898438	5537875.0	-84.43351202410604	-1170710.0	
754515.0	54.416850735765784	128.0	128.0	169003.50952148438	5537907.0	-84.43279080781828	-1170700.0	
755165.0	54.46372979447005	128.0	128.0	169004.48608398438	5537939.0	-84.4547879045949	-1171005.0	
754210.0	54.39485363898917	128.0	128.0	169005.46264648438	5537971.0	-84.4461333091418	-1170885.0	
754470.0	54.413605262470874	128.0	128.0	169006.43920898438	5538003.0	-84.4273816856601	-1170625.0	
755375.0	54.478875336512964	128.0	128.0	169007.41577148438	5538035.0	-84.42918472637949	-1170650.0	
755670.0	54.50015121700183	128.0	128.0	169008.39233398438	5538067.0	-84.44036357883974	-1170805.0	
754805.0	54.43776600811076	128.0	128.0	169009.36889648438	5538099.0	-84.4479363498612	-1170910.0	
756100.0	54.53116351737542	128.0	128.0	169010.34545898438	5538131.0	-84.45442729645102	-1171000.0	
755065.0	54.45651763159247	128.0	128.0	169011.32202148438	5538163.0	-84.47281831178884	-1171255.0	
755235.0	54.46877830848435	128.0	128.0	169012.29858398438	5538195.0	-84.52438527636353	-1171970.0	
755610.0	54.49582391927528	128.0	128.0	169013.27514648438	5538227.0	-84.53772777768705	-1172155.0	
754775.0	54.43560235924749	128.0	128.0	169014.25170898438	5538259.0	-84.57342798393107	-1172650.0	
756010.0	54.5246725707856	128.0	128.0	169015.22827148438	5538291.0	-84.58893413411786	-1172865.0	
754760.0	54.43452053481585	128.0	128.0	169016.20483398438	5538323.0	-84.59217960741277	-1172910.0	
755610.0	54.49582391927528	128.0	128.0	169017.18139648438	5538355.0	-84.5539551441616	-1172380.0	
755085.0	54.457960064167985	128.0	128.0	169018.15795898438	5538387.0	-84.52041858678086	-1171915.0	
755465.0	54.48536628310279	128.0	128.0	169019.13452148438	5538419.0	-84.46632736519902	-1171165.0	
755885.0	54.51565736718862	128.0	128.0	169020.11108398438	5538451.0	-84.42161195535803	-1170545.0	
756180.0	54.53693324767748	128.0	128.0	169021.08764648438	5538483.0	-84.37401168036601	-1169885.0	
755110.0	54.45976310488738	128.0	128.0	169022.06420898438	5538515.0	-84.38014201881195	-1169970.0	
754580.0	54.42153864163621	128.0	128.0	169023.04077148438	5538547.0	-84.41295735990494	-1170425.0	
755080.0	54.457599456024106	128.0	128.0	169024.01733398438	5538579.0	-84.39348452013547	-1170155.0	
755390.0	54.47995716094461	128.0	128.0	169024.99389648438	5538611.0	-84.3844693165385	-1170030.0	
755420.0	54.48212080980788	128.0	128.0	169025.97045898438	5538643.0	-84.37906019438032	-1169955.0	
754725.0	54.4319962778087	128.0	128.0	169026.94702148438	5538675.0	-84.39420573642323	-1170165.0	
755690.0	54.501593649577345	128.0	128.0	169027.92358398438	5538707.0	-84.39781181786202	-1170215.0	
755425.0	54.48248141795176	128.0	128.0	169028.90014648438	5538739.0	-84.39456634456711	-1170170.0	
756045.0	54.52719682779275	128.0	128.0	169029.87670898438	5538771.0	-84.39384512827935	-1170160.0	
755855.0	54.51349371832535	128.0	128.0	169030.85327148438	5538803.0	-84.39420573642323	-1170165.0	
756075.0	54.529360476656024	128.0	128.0	169031.82983398438	5538835.0	-84.42161195535803	-1170545.0	
755660.0	54.49943000071407	128.0	128.0	169032.80639648438	5538867.0	-84.46452432447963	-1171140.0	
755225.0	54.468057092196595	128.0	128.0	169033.78295898438	5538899.0	-84.49265175970218	-1171530.0	
755985.0	54.5228695300662	128.0	128.0	169034.75952148438	5538931.0	-84.52618831708293	-1171995.0	
755670.0	54.50015121700183	128.0	128.0	169035.73608398438	5538963.0	-84.5265489252268	-1172000.0	
755420.0	54.48212080980788	128.0	128.0	169036.71264648438	5538995.0	-84.51320642390328	-1171815.0	
755750.0	54.50592094730389	128.0	128.0	169037.68920898438	5539027.0	-84.4854395968246	-1171430.0	
755300.0	54.47346621435478	128.0	128.0	169038.66577148438	5539059.0	-84.41548161691209	-1170460.0	
755310.0	54.47418743064254	128.0	128.0	169039.64233398438	5539091.0	-84.36427526048128	-1169750.0	
755055.0	54.45579641530471	128.0	128.0	169040.61889648438	5539123.0	-84.3210022832158	-1169150.0	
756180.0	54.53693324767748	128.0	128.0	169041.59545898438	5539155.0	-84.29107180727385	-1168735.0	
754955.0	54.44858425242713	128.0	128.0	169042.57202148438	5539187.0	-84.30152944344634	-1168880.0	
756395.0	54.552439397864276	128.0	128.0	169043.54858398438	5539219.0	-84.30549613302901	-1168935.0	
755920.0	54.518181624195776	128.0	128.0	169044.52514648438	5539251.0	-84.31306890405047	-1169040.0	
755065.0	54.45651763159247	128.0	128.0	169045.50170898438	5539283.0	-84.31955985064029	-1169130.0	
755580.0	54.49366027041201	128.0	128.0	169046.47827148438	5539315.0	-84.33795086597812	-1169385.0	
754245.0	54.39737789599632	128.0	128.0	169047.45483398438	5539347.0	-84.3451630288557	-1169485.0	
754775.0	54.43560235924749	128.0	128.0	169048.43139648438	5539379.0	-84.36066917904249	-1169700.0	
754075.0	54.38511721910444	128.0	128.0	169049.40795898438	5539411.0	-84.36968438263946	-1169825.0	
755085.0	54.457960064167985	128.0	128.0	169050.38452148438	5539443.0	-84.35237519173327	-1169585.0	
755440.0	54.4835632423834	128.0	128.0	169051.36108398438	5539475.0	-84.35958735461085	-1169685.0	
755075.0	54.45723884788023	128.0	128.0	169052.33764648438	5539507.0	-84.39276330384772	-1170145.0	
755960.0	54.52106648934681	128.0	128.0	169053.31420898438	5539539.0	-84.45082121501223	-1170950.0	
754605.0	54.423341682355606	128.0	128.0	169054.29077148438	5539571.0	-84.47714560951539	-1171315.0	
755755.0	54.50628155544777	128.0	128.0	169055.26733398438	5539603.0	-84.49265175970218	-1171530.0	
756020.0	54.525393787073355	128.0	128.0	169056.24389648438	5539635.0	-84.48075169095418	-1171365.0	
754875.0	54.44281452212507	128.0	128.0	169057.22045898438	5539667.0	-84.48399716424909	-1171410.0	
756015.0	54.525033178929476	128.0	128.0	169058.19702148438	5539699.0	-84.41584222505597	-1170465.0	
756000.0	54.52395135449784	128.0	128.0	169059.17358398438	5539731.0	-84.38014201881195	-1169970.0	
754415.0	54.409638572888205	128.0	128.0	169060.15014648438	5539763.0	-84.33073870310054	-1169285.0	
756115.0	54.532245341807055	128.0	128.0	169061.12670898438	5539795.0	-84.26763227792172	-1168410.0	
755450.0	54.484284458671155	128.0	128.0	169062.10327148438	5539827.0	-84.28458086068403	-1168645.0	
755440.0	54.4835632423834	128.0	128.0	169063.07983398438	5539859.0	-84.2593382906125	-1168295.0	
755385.0	54.47959655280072	128.0	128.0	169064.05639648438	5539891.0	-84.27051714307275	-1168450.0	
755715.0	54.50339669029674	128.0	128.0	169065.03295898438	5539923.0	-84.2798929548136	-1168580.0	
755765.0	54.50700277173553	128.0	128.0	169066.00952148438	5539955.0	-84.25645342546147	-1168255.0	
755555.0	54.49185722969261	128.0	128.0	169066.98608398438	5539987.0	-84.26835349420948	-1168420.0	
754765.0	54.43488114295973	128.0	128.0	169067.96264648438	5540019.0	-84.27700808966257	-1168540.0	
756045.0	54.52719682779275	128.0	128.0	169068.93920898438	5540051.0	-84.27232018379215	-1168475.0	
755025.0	54.45363276644144	128.0	128.0	169069.91577148438	5540083.0	-84.30838099818004	-1168975.0	
755390.0	54.47995716094461	128.0	128.0	169070.89233398438	5540115.0	-84.28782633397894	-1168690.0	
755060.0	54.45615702344859	128.0	128.0	169071.86889648438	5540147.0	-84.32172349950356	-1169160.0	
755050.0	54.45543580716083	128.0	128.0	169072.84545898438	5540179.0	-84.37653593737316	-1169920.0	
755605.0	54.4954633111314	128.0	128.0	169073.82202148438	5540211.0	-84.40069668301305	-1170255.0	
